feature,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
hour_11_shape,-0.5220281921767559,-0.7282056438703043,0.1435282442525949,-0.3549894830346785,-0.08652809046810199,-0.04870137290644091,0.04048697600306152,-0.0416894305420572,0.0370944461367389,0.107157869853895
hour_12_shape,-0.49221564053357136,-0.8024974935987377,0.03136028732571419,-0.2745578207694741,0.03158672876836945,0.005178158393417607,0.05311513324657694,-0.05327052027304304,0.02385883079608833,0.14379533185858182
hour_13_shape,-0.4465162087063255,-0.8376885729764625,-0.11318489601175404,-0.16495593461198976,0.13823547489996954,0.05149635960813993,0.04902096379566485,-0.03876740809597055,-0.03335553631611781,0.13502587722540954
hour_14_shape,-0.37329315139487973,-0.8380087105489301,-0.26560515142446445,-0.019898919215138772,0.19178814679619755,0.10010894912204518,0.04205085458736526,-0.025135721194967663,-0.06877611449598861,0.08943295488902912
hour_15_shape,-0.27638808797700304,-0.7941409087154767,-0.4376130927535147,0.15325414298420262,0.17455393257337623,0.14789277518007096,0.00451193593558592,-0.01017351043803284,-0.08722221915744441,-0.012702350299761262
hour_16_shape,-0.06849968326729906,-0.6724954135816849,-0.5784189216626046,0.3805439296324579,0.07095123023530854,0.1320760286070255,-0.044118938479610514,0.03703103878114285,-0.05560263651076836,-0.12852963716335025
hour_17_shape,0.3085564708277529,-0.40832371848428695,-0.5784578798824274,0.5566171956731325,-0.10353137409234743,0.0942096302849324,-0.08253975622628687,0.06598523492007285,0.04165185310086074,-0.1826955695080841
hour_18_shape,0.6836131996617267,-0.03749022439355257,-0.3476368175855455,0.5371664139976873,-0.23056395741741575,-0.04270103082984311,-0.10421026164788078,0.013992769377074292,0.1513400179782821,-0.08102802920584226
hour_19_shape,0.8385154776382983,0.2484585841507202,-0.11904352440299965,0.33377708460717415,-0.2251969897394314,-0.10844767798275898,-0.07784633775142873,-0.014820643459977797,0.1510725686748159,0.05035570022839804
hour_20_shape,0.8366302002068636,0.4603644699661829,-0.02180719638153465,0.05856567217541777,-0.15032178910831054,-0.1345933536534078,-0.05077751065490252,-0.04166697159042583,0.11217576395817586,0.12585674454798482
hour_21_shape,0.7300283537076219,0.611094201198597,-0.027986025006495666,-0.18706251795126685,-0.048215476461106625,-0.13371474182830945,-0.028986569424877904,-0.03850220456286375,0.027081888387826533,0.0801763298759012
hour_22_shape,0.5304052625393609,0.731684017901628,-0.08699066888590905,-0.3455067080368219,0.0720494649241679,-0.11107273737410459,-0.013654096208742675,-0.013621384133819987,-0.04405016757558655,-0.003851744531025031
hour_23_shape,0.2656522654991811,0.8081980565969508,-0.1523584094531611,-0.42738739728072467,0.17768051015804268,-0.06251629301301827,-0.01754183590979673,0.056562979296700906,-0.09466865253437697,-0.08205386624713155
morning_share,-0.41110241695906197,-0.4862760806742916,0.7352264468555341,-0.08786791373289411,-0.17589051454547308,-0.07779790336892305,0.02889123578211442,-0.01094294262613596,-0.07137464519472687,-0.048775366455739634
afternoon_share,-0.29508026961590317,-0.8695294357712036,-0.3552713932523381,0.0895981349658553,0.1056517787831153,0.10051415866328708,0.01032291978914417,-0.009667725532313102,-0.03596610849896895,0.02378857967498818
evening_share,0.7885764441037133,0.5729527267821454,-0.13489269948986943,-0.01788740395122363,-0.08310831951762403,-0.12294846561716219,-0.05637608544399246,-0.012277233361091242,0.06158025625025086,0.029363713546745388
