feature,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12
hour_14_shape,-0.8396072265850846,-0.22976321318341913,0.038174622180146583,-0.31923598618458837,-0.02896215102630376,0.04373176519122599,-0.20886385111643196,0.09460395487947755,-0.10118099039219727,-0.0262545189427441,0.008826967905730412,0.06601366540650944
hour_15_shape,-0.7418625972710492,-0.2813763270913615,-0.00103598722658447,-0.4687836896586964,0.14045524583319582,0.11079539977799417,-0.18335415540691014,0.026421136664421203,-0.03771025599133412,0.07425057796290094,0.0936678162533225,0.08162277899440831
hour_16_shape,-0.4917780009450135,-0.39631307302314395,0.04374664961134657,-0.6070711439380901,0.3278002912934077,0.051461079752906286,-0.06664678748683303,-0.06253009566734466,0.052041028119045964,0.19734238391453723,0.012870808080579383,-0.08498762322853544
hour_17_shape,-0.04991339589126738,-0.5048732817156123,-0.026157885250006393,-0.5527139436271554,0.5131940753015615,-0.04329946058097852,0.15044260492715733,-0.20372627465018314,0.11794256773308986,0.17659505108620824,-0.02541675837941694,-0.07818331819595191
hour_18_shape,0.46593155773992007,-0.5892959707061058,-0.12664076338276328,-0.21762542932574352,0.4407255826306122,-0.06586586557721029,0.23570293639236592,-0.2055593408868467,0.0627689334329678,0.0064474880260181775,-0.05628453342886975,-0.022869811463670293
hour_19_shape,0.7076739932247434,-0.5043530662976188,-0.0973693618365288,0.004036255320775757,0.23779620484426287,-0.08177249940101813,0.20110222783485757,-0.10896736719647662,0.045826882409309336,-0.22893091536449608,-0.045121536491030054,-0.0109671911754861
hour_20_shape,0.8771143701490017,-0.3423033151836821,-0.059686389604720336,0.07774859168658561,-0.0038218377064655556,-0.08309138103899902,0.10662370010012989,-0.0013617759456048234,-0.03703395097036321,-0.2118253792490833,0.06884248730085377,0.02048486838024013
hour_21_shape,0.9001965539996197,-0.1255652982719572,0.03168678554140258,0.0645649810721316,-0.26297207939731,-0.06164431549026274,-0.008462643579082612,0.02404488832951829,-0.09430888221062522,-0.13666170923592127,0.1270634726036102,0.01606378414522404
hour_22_shape,0.8607559488164088,0.13138753230179948,0.04931170392271654,-0.027439242551944222,-0.38724937531313464,-0.031177457876468452,-0.1253913052603649,0.02212301483731679,-0.11400023581261517,0.031013324487126313,0.1403075120802225,0.019560567493128296
hour_23_shape,0.7329589702620577,0.39853187363730885,0.12104904877065968,-0.11860662600343808,-0.4071845001437743,0.00920915702486544,-0.17994996991250806,0.013386937441632036,-0.06300704623208285,0.1797471095764547,0.06712569146362421,-0.026058074442354143
morning_share,-0.670363731868622,-0.03864683439230887,-0.03254490022441623,0.7146193433849873,-0.04448319590984611,-0.0600136748603114,0.132138077906294,0.05085665623923619,-0.0020070162482550818,0.09113960412871538,-0.041311221288720244,-0.01999940095207976
afternoon_share,-0.8235694906384039,-0.33486039992764854,0.04570699767873579,-0.42912818796838204,0.08425203739461283,0.06479013008706049,-0.1093310409963587,0.025699728030175607,-0.015415722044233625,0.03524665429478654,0.00641017932522612,0.01784008691299916
evening_share,0.9577863264752645,-0.23126477494552758,-0.019952476231337606,-0.027212955103389863,-0.08179468316040026,-0.06879967948973498,0.05302131250401716,-0.046669643452530774,-0.04413545930867618,-0.09679613460695005,0.06698470702577147,0.0021482968220132527
night_share,0.17535852354661396,0.9666150251779752,6.408493486562458e-06,-0.021085260499438308,0.06641279410325782,0.08780425085408194,-0.0643290993845158,-0.005042523448119151,0.10574257625219005,0.03128528999878325,-0.09013601237925757,-0.010752870768286822
night_day_ratio,0.5261848920253973,0.8146239364827053,0.007263880623268179,-0.010397318795203172,-0.032043297814710756,0.061152461223009005,-0.15819212395062182,-0.026158413411367615,0.0920642637824948,0.030029995599509113,-0.10961325952405938,-0.01483014206872963
peak_hour_sin,-0.476386562276045,0.21814783475089777,0.06510535794449891,0.4497874868441645,-0.29719489913741454,-0.0667967873140345,-0.1671019055695415,-0.3126520518392067,0.3381439185990421,-0.07346792562436459,0.3316824420493593,-0.16457742897990899
peak_hour_cos,0.7928049573905701,-0.040216605563142264,-0.0713434359610043,-0.08037060875315591,-0.02658715782168565,0.014681228295854668,0.17245603256486747,0.269024204463628,-0.25618988547289273,0.0953864747800083,-0.2104466101103077,-0.2216164058644206
peak_concentration,0.33826812964706193,-0.8131744435406649,-0.014871470882782595,0.19125058009456108,-0.09381085105418832,-0.008921125962864759,-0.25859764244947175,-0.11428877869627177,0.05847854903753484,-0.05002381224050168,-0.16077191680370104,-0.028202742948665635
