seed,arm,rule_selected,n_features,n_pca_components,cumulative_variance,optimal_k,silhouette,calinski_harabasz,davies_bouldin,stability_mean_ari,stability_std_ari,min_cluster_share,cluster_balance,cluster_sizes,scale_separation,shape_separation,archetype_ari,archetype_nmi,n_true_archetypes
8,scale,False,7,2,0.9714139929670795,2,0.5137379404899814,235.74403467991115,0.7615472611825603,0.9888748130266048,0.010406659504561374,0.275,0.3793103448275862,"[55, 145]",0.8095323905953289,0.07347803790586775,0.008891845700324611,0.020511313318660285,4
8,shape,True,24,8,0.9529986800094887,4,0.3214748860211495,83.34551681848542,1.1864109573654478,0.9525078772401141,0.03868712611300279,0.215,0.7543859649122807,"[43, 57, 45, 55]",0.15995971008167956,0.7200931127266957,0.7416658431891188,0.7411504411483829,4
8,summary,False,27,11,0.9586436499628287,3,0.3302388396756082,104.0870291153123,1.1952073915630421,1.0,0.0,0.225,0.42857142857142855,"[105, 50, 45]",0.10378552472876594,0.5876789006672772,0.5942174801102684,0.7289883491895629,4
8,behavioral,False,51,14,0.9528629558218552,3,0.32041582944229985,90.37798820049491,1.232627064683166,1.0,0.0,0.265,0.5824175824175825,"[53, 91, 56]",0.09505498585076619,0.6210652310287307,0.6078900424316552,0.6773396299917123,4
8,combined,False,58,15,0.9549716535008155,3,0.2879274585889396,75.63554862699891,1.3549690825563794,1.0,0.0,0.26,0.5591397849462365,"[93, 55, 52]",0.1235631101868881,0.6202807920877396,0.6172011053232562,0.6915042401181741,4
9,scale,False,7,2,0.9710554113121381,2,0.5341541751516293,196.9199192917114,0.8024702871810774,0.9913206172512149,0.01735876549757021,0.225,0.2903225806451613,"[155, 45]",0.775818569954095,0.041919287022386564,-0.004107826048826476,0.0008296929317333377,4
9,shape,False,24,9,0.9558839791175839,3,0.310546884718194,80.59484310649178,1.2121857361518702,0.9694437767288422,0.041137574549695875,0.265,0.6463414634146342,"[82, 53, 65]",0.05405773866587955,0.6239252715142328,0.5349254328437701,0.5797277348420028,4
9,summary,False,27,11,0.9564558169994634,2,0.3064813894708609,91.14260562202584,1.128430939849005,1.0,0.0,0.27,0.3698630136986301,"[146, 54]",0.04061696047674453,0.29824455282870166,0.3184570314284722,0.509767576590765,4
9,behavioral,True,51,14,0.9505373066040481,3,0.3037644084741414,82.25891854728467,1.270879009068202,0.9969251132970303,0.006149773405939518,0.255,0.5730337078651685,"[51, 89, 60]",0.08192760206555107,0.6163576418717568,0.5943303413677233,0.6540011739440539,4
9,combined,False,58,15,0.9535135965663079,3,0.2774199275140282,69.33635252194095,1.3870474175538645,0.9597644941936266,0.032918962093302126,0.25,0.5319148936170213,"[50, 94, 56]",0.1471841404680157,0.6143802683007555,0.5916350401807722,0.6668149209038443,4
10,scale,False,7,2,0.9701402226078308,2,0.48373499840953443,213.55502273611924,0.8105307735732681,0.9598863202169915,0.02896584284999777,0.375,0.6,"[125, 75]",0.7858686226278686,0.06356262917483972,-0.0008949402023919043,0.006419449538830107,4
10,shape,False,24,9,0.9556206403417699,3,0.30195039261614065,77.22858699962715,1.2258277953507022,0.991486341358714,0.007963798435909993,0.28,0.6666666666666666,"[84, 60, 56]",0.03396541334250879,0.6166238225127001,0.6157727734523586,0.6854365819422905,4
10,summary,False,27,11,0.9573959829555814,2,0.2978817706496297,89.99774775795868,1.1548598663468743,1.0,0.0,0.28,0.3888888888888889,"[56, 144]",0.016357024874886116,0.2942146140267273,0.3156823936576035,0.5064773601170478,4
